#name=An isolated stratocumulus water cloud out of the entire cloud field.
#original_cloud_data=@storm/data2/gmatheou/Factory/jplles/rev153/rico.20.smagorinsky/MISR01/An
#resampled_cloud_data_grid_size=20,20,40m
32 36 25
0.020 0.020     0.440     0.480     0.520     0.560     0.600     0.640     0.680     0.720     0.760     0.800     0.840     0.880     0.920     0.960     1.000     1.040     1.080     1.120     1.160     1.200     1.240     1.280     1.320     1.360     1.400
2 2 4    0.00675 12.52100
8 32 16    0.01352 17.59300
8 32 17    0.00855 17.79400
8 32 18    0.26005 17.99000
8 32 19    0.47469 18.17600
8 32 20    0.41520 18.32500
8 32 21    0.35100 18.42500
9 9 6    0.00829 14.00100
9 9 8    0.12060 15.10600
9 9 9    0.06653 15.53200
9 10 7    0.00901 14.60700
9 10 8    0.25968 15.10600
9 10 9    0.31153 15.53200
9 10 10    0.06421 15.90400
9 11 7    0.01448 14.60700
9 11 8    0.21283 15.10600
9 11 9    0.29007 15.53200
9 11 10    0.24868 15.90400
9 12 8    0.08053 15.10600
9 12 9    0.10046 15.53200
9 12 10    0.21326 15.90400
9 12 11    0.16031 16.32100
9 12 12    0.13708 16.75600
9 12 13    0.01631 17.02200
9 13 10    0.04324 15.90400
9 13 11    0.26686 16.32100
9 13 12    0.44589 16.75600
9 13 13    0.48642 17.02200
9 13 14    0.59523 17.26100
9 13 15    0.24811 17.42500
9 14 11    0.19064 16.32100
9 14 12    0.32983 16.75600
9 14 13    0.54446 17.02200
9 14 14    0.78815 17.26100
9 14 15    0.78527 17.42500
9 14 16    0.16644 17.59300
9 15 10    0.00733 15.90400
9 15 11    0.18220 16.32100
9 15 12    0.29054 16.75600
9 15 13    0.46837 17.02200
9 15 14    0.66022 17.26100
9 15 15    0.78437 17.42500
9 15 16    0.60369 17.59300
9 16 6    0.02330 14.00100
9 16 7    0.00240 14.60700
9 16 10    0.00639 15.90400
9 16 11    0.16775 16.32100
9 16 12    0.38282 16.75600
9 16 13    0.56034 17.02200
9 16 14    0.75631 17.26100
9 16 15    0.72891 17.42500
9 16 16    0.78906 17.59300
9 16 17    0.13930 17.79400
9 17 6    0.09700 14.00100
9 17 7    0.06946 14.60700
9 17 8    0.00732 15.10600
9 17 9    0.00866 15.53200
9 17 10    0.00995 15.90400
9 17 11    0.17729 16.32100
9 17 12    0.34617 16.75600
9 17 13    0.61690 17.02200
9 17 14    0.80463 17.26100
9 17 15    0.79494 17.42500
9 17 16    0.86589 17.59300
9 17 17    0.30515 17.79400
9 18 4    0.00134 12.52100
9 18 6    0.18685 14.00100
9 18 7    0.20868 14.60700
9 18 8    0.19172 15.10600
9 18 9    0.18940 15.53200
9 18 10    0.14211 15.90400
9 18 11    0.25276 16.32100
9 18 12    0.28045 16.75600
9 18 13    0.46135 17.02200
9 18 14    0.65625 17.26100
9 18 15    0.68108 17.42500
9 18 16    0.84017 17.59300
9 18 17    0.66986 17.79400
9 19 4    0.01074 12.52100
9 19 5    0.03320 13.31400
9 19 6    0.20503 14.00100
9 19 7    0.35601 14.60700
9 19 8    0.37106 15.10600
9 19 9    0.40076 15.53200
9 19 10    0.27471 15.90400
9 19 11    0.35199 16.32100
9 19 12    0.26676 16.75600
9 19 13    0.35135 17.02200
9 19 14    0.54332 17.26100
9 19 15    0.57405 17.42500
9 19 16    0.69944 17.59300
9 19 17    0.86505 17.79400
9 19 18    0.16965 17.99000
9 20 5    0.11458 13.31400
9 20 6    0.16704 14.00100
9 20 7    0.35328 14.60700
9 20 8    0.45062 15.10600
9 20 9    0.50360 15.53200
9 20 10    0.37437 15.90400
9 20 11    0.41843 16.32100
9 20 12    0.19646 16.75600
9 20 13    0.35593 17.02200
9 20 14    0.59104 17.26100
9 20 15    0.66926 17.42500
9 20 16    0.65697 17.59300
9 20 17    0.82977 17.79400
9 20 18    0.28916 17.99000
9 21 5    0.05241 13.31400
9 21 6    0.15667 14.00100
9 21 7    0.21643 14.60700
9 21 8    0.38790 15.10600
9 21 9    0.50334 15.53200
9 21 10    0.51960 15.90400
9 21 11    0.48657 16.32100
9 21 12    0.12247 16.75600
9 21 13    0.31027 17.02200
9 21 14    0.53643 17.26100
9 21 15    0.56536 17.42500
9 21 16    0.57674 17.59300
9 21 17    0.76787 17.79400
9 21 18    0.41318 17.99000
9 22 5    0.00724 13.31400
9 22 6    0.10781 14.00100
9 22 7    0.17354 14.60700
9 22 8    0.30139 15.10600
9 22 9    0.45115 15.53200
9 22 10    0.59862 15.90400
9 22 11    0.47054 16.32100
9 22 12    0.08232 16.75600
9 22 13    0.20017 17.02200
9 22 14    0.44777 17.26100
9 22 15    0.48563 17.42500
9 22 16    0.44942 17.59300
9 22 17    0.73143 17.79400
9 22 18    0.56034 17.99000
9 23 5    0.09212 13.31400
9 23 6    0.10348 14.00100
9 23 7    0.25591 14.60700
9 23 8    0.33433 15.10600
9 23 9    0.42382 15.53200
9 23 10    0.51836 15.90400
9 23 11    0.28775 16.32100
9 23 12    0.01637 16.75600
9 23 13    0.08008 17.02200
9 23 14    0.39367 17.26100
9 23 15    0.56946 17.42500
9 23 16    0.44195 17.59300
9 23 17    0.69660 17.79400
9 23 18    0.63938 17.99000
9 24 5    0.08976 13.31400
9 24 6    0.13314 14.00100
9 24 7    0.25583 14.60700
9 24 8    0.36026 15.10600
9 24 9    0.40242 15.53200
9 24 10    0.24953 15.90400
9 24 12    0.02014 16.75600
9 24 13    0.16065 17.02200
9 24 14    0.34684 17.26100
9 24 15    0.47699 17.42500
9 24 16    0.41647 17.59300
9 24 17    0.65454 17.79400
9 24 18    0.70257 17.99000
9 24 21    0.11665 18.42500
9 24 22    0.10164 18.50600
9 25 4    0.00498 12.52100
9 25 5    0.04776 13.31400
9 25 6    0.07454 14.00100
9 25 7    0.14525 14.60700
9 25 8    0.23096 15.10600
9 25 9    0.12791 15.53200
9 25 12    0.03151 16.75600
9 25 13    0.24302 17.02200
9 25 14    0.27436 17.26100
9 25 15    0.30304 17.42500
9 25 16    0.34193 17.59300
9 25 17    0.56784 17.79400
9 25 18    0.70918 17.99000
9 25 19    0.23195 18.17600
9 25 20    0.11013 18.32500
9 25 21    0.92957 18.42500
9 25 22    1.11690 18.50600
9 25 23    0.23542 18.57300
9 26 4    0.02445 12.52100
9 26 5    0.04833 13.31400
9 26 6    0.04573 14.00100
9 26 7    0.05388 14.60700
9 26 8    0.10820 15.10600
9 26 12    0.02129 16.75600
9 26 13    0.14498 17.02200
9 26 14    0.02701 17.26100
9 26 15    0.15057 17.42500
9 26 16    0.33830 17.59300
9 26 17    0.54010 17.79400
9 26 18    0.58944 17.99000
9 26 19    0.68334 18.17600
9 26 20    0.27853 18.32500
9 26 21    0.91304 18.42500
9 26 22    1.51780 18.50600
9 26 23    0.92607 18.57300
9 27 4    0.02318 12.52100
9 27 6    0.04319 14.00100
9 27 8    0.03265 15.10600
9 27 15    0.13388 17.42500
9 27 16    0.43787 17.59300
9 27 17    0.54285 17.79400
9 27 18    0.59142 17.99000
9 27 19    1.01000 18.17600
9 27 20    0.51912 18.32500
9 27 21    0.70155 18.42500
9 27 22    1.01950 18.50600
9 27 23    1.31710 18.57300
9 28 6    0.00230 14.00100
9 28 15    0.12499 17.42500
9 28 16    0.50466 17.59300
9 28 17    0.60768 17.79400
9 28 18    0.77122 17.99000
9 28 19    1.01070 18.17600
9 28 20    0.81570 18.32500
9 28 21    0.95270 18.42500
9 28 22    1.19040 18.50600
9 28 23    1.19850 18.57300
9 28 24    0.02051 18.69800
9 29 6    0.00606 14.00100
9 29 15    0.10182 17.42500
9 29 16    0.44827 17.59300
9 29 17    0.58661 17.79400
9 29 18    0.63949 17.99000
9 29 19    0.83599 18.17600
9 29 20    1.01790 18.32500
9 29 21    1.04120 18.42500
9 29 22    1.35530 18.50600
9 29 23    0.84394 18.57300
9 30 6    0.02713 14.00100
9 30 15    0.08607 17.42500
9 30 16    0.35807 17.59300
9 30 17    0.37024 17.79400
9 30 18    0.44367 17.99000
9 30 19    0.68786 18.17600
9 30 20    1.04820 18.32500
9 30 21    1.12500 18.42500
9 30 22    1.34190 18.50600
9 30 23    0.42522 18.57300
9 31 6    0.01594 14.00100
9 31 15    0.06660 17.42500
9 31 16    0.32292 17.59300
9 31 17    0.15076 17.79400
9 31 18    0.34654 17.99000
9 31 19    0.68589 18.17600
9 31 20    0.91058 18.32500
9 31 21    1.05340 18.42500
9 31 22    0.97694 18.50600
9 31 23    0.04042 18.57300
9 32 15    0.07035 17.42500
9 32 16    0.18569 17.59300
9 32 18    0.18457 17.99000
9 32 19    0.40283 18.17600
9 32 20    0.59148 18.32500
9 32 21    0.81440 18.42500
9 32 22    0.25636 18.50600
9 33 6    0.01097 14.00100
9 33 15    0.05284 17.42500
9 33 16    0.02335 17.59300
9 33 21    0.01613 18.42500
9 34 6    0.00422 14.00100
10 2 4    0.01792 12.52100
10 3 4    0.00937 12.52100
10 4 5    0.01142 13.31400
10 5 5    0.03710 13.31400
10 6 5    0.05595 13.31400
10 6 6    0.03836 14.00100
10 7 5    0.04150 13.31400
10 7 6    0.13389 14.00100
10 8 5    0.02273 13.31400
10 8 6    0.24412 14.00100
10 8 7    0.01459 14.60700
10 8 8    0.07589 15.10600
10 8 9    0.04983 15.53200
10 9 6    0.18038 14.00100
10 9 7    0.19155 14.60700
10 9 8    0.29575 15.10600
10 9 9    0.33355 15.53200
10 10 6    0.04798 14.00100
10 10 7    0.17605 14.60700
10 10 8    0.25819 15.10600
10 10 9    0.39294 15.53200
10 10 10    0.16652 15.90400
10 11 7    0.10055 14.60700
10 11 8    0.14037 15.10600
10 11 9    0.19228 15.53200
10 11 10    0.30657 15.90400
10 12 7    0.08175 14.60700
10 12 8    0.05428 15.10600
10 12 9    0.01851 15.53200
10 12 10    0.18768 15.90400
10 12 11    0.16473 16.32100
10 12 12    0.10574 16.75600
10 12 13    0.17907 17.02200
10 12 14    0.11678 17.26100
10 13 6    0.02118 14.00100
10 13 7    0.09885 14.60700
10 13 8    0.02639 15.10600
10 13 10    0.05365 15.90400
10 13 11    0.26731 16.32100
10 13 12    0.39162 16.75600
10 13 13    0.55199 17.02200
10 13 14    0.74485 17.26100
10 13 15    0.23881 17.42500
10 14 6    0.02177 14.00100
10 14 7    0.11177 14.60700
10 14 8    0.02917 15.10600
10 14 10    0.03423 15.90400
10 14 11    0.19359 16.32100
10 14 12    0.37219 16.75600
10 14 13    0.49883 17.02200
10 14 14    0.71367 17.26100
10 14 15    0.73867 17.42500
10 14 16    0.06659 17.59300
10 15 6    0.05622 14.00100
10 15 7    0.16436 14.60700
10 15 8    0.05131 15.10600
10 15 10    0.03073 15.90400
10 15 11    0.14365 16.32100
10 15 12    0.30856 16.75600
10 15 13    0.44217 17.02200
10 15 14    0.55175 17.26100
10 15 15    0.78625 17.42500
10 15 16    0.41190 17.59300
10 16 5    0.07141 13.31400
10 16 6    0.19009 14.00100
10 16 7    0.24375 14.60700
10 16 8    0.07606 15.10600
10 16 10    0.01248 15.90400
10 16 11    0.15573 16.32100
10 16 12    0.30640 16.75600
10 16 13    0.52141 17.02200
10 16 14    0.68722 17.26100
10 16 15    0.75483 17.42500
10 16 16    0.76525 17.59300
10 17 5    0.06443 13.31400
10 17 6    0.28356 14.00100
10 17 7    0.29293 14.60700
10 17 8    0.10537 15.10600
10 17 11    0.13686 16.32100
10 17 12    0.22832 16.75600
10 17 13    0.48767 17.02200
10 17 14    0.68722 17.26100
10 17 15    0.78914 17.42500
10 17 16    0.88156 17.59300
10 17 17    0.21378 17.79400
10 18 4    0.01857 12.52100
10 18 6    0.27208 14.00100
10 18 7    0.30826 14.60700
10 18 8    0.20412 15.10600
10 18 9    0.11409 15.53200
10 18 10    0.03864 15.90400
10 18 11    0.07277 16.32100
10 18 12    0.11407 16.75600
10 18 13    0.32457 17.02200
10 18 14    0.48812 17.26100
10 18 15    0.71963 17.42500
10 18 16    0.84363 17.59300
10 18 17    0.52349 17.79400
10 19 4    0.02052 12.52100
10 19 5    0.03568 13.31400
10 19 6    0.21220 14.00100
10 19 7    0.30204 14.60700
10 19 8    0.31841 15.10600
10 19 9    0.26517 15.53200
10 19 10    0.05763 15.90400
10 19 11    0.05191 16.32100
10 19 12    0.00391 16.75600
10 19 13    0.23071 17.02200
10 19 14    0.40821 17.26100
10 19 15    0.61152 17.42500
10 19 16    0.74343 17.59300
10 19 17    0.81640 17.79400
10 19 18    0.03369 17.99000
10 20 5    0.07683 13.31400
10 20 6    0.14401 14.00100
10 20 7    0.26519 14.60700
10 20 8    0.36980 15.10600
10 20 9    0.39613 15.53200
10 20 10    0.12463 15.90400
10 20 11    0.03948 16.32100
10 20 13    0.15166 17.02200
10 20 14    0.34105 17.26100
10 20 15    0.44099 17.42500
10 20 16    0.68084 17.59300
10 20 17    0.91010 17.79400
10 20 18    0.15583 17.99000
10 21 5    0.07582 13.31400
10 21 6    0.14096 14.00100
10 21 7    0.24831 14.60700
10 21 8    0.34881 15.10600
10 21 9    0.46523 15.53200
10 21 10    0.40540 15.90400
10 21 11    0.14238 16.32100
10 21 13    0.17043 17.02200
10 21 14    0.23167 17.26100
10 21 15    0.17681 17.42500
10 21 16    0.52302 17.59300
10 21 17    0.91031 17.79400
10 21 18    0.24038 17.99000
10 22 5    0.04630 13.31400
10 22 6    0.17269 14.00100
10 22 7    0.28360 14.60700
10 22 8    0.37775 15.10600
10 22 9    0.46092 15.53200
10 22 10    0.58703 15.90400
10 22 11    0.26662 16.32100
10 22 12    0.00413 16.75600
10 22 13    0.19044 17.02200
10 22 14    0.31955 17.26100
10 22 15    0.20462 17.42500
10 22 16    0.40196 17.59300
10 22 17    0.90712 17.79400
10 22 18    0.31076 17.99000
10 23 4    0.00498 12.52100
10 23 5    0.08007 13.31400
10 23 6    0.13931 14.00100
10 23 7    0.31078 14.60700
10 23 8    0.41762 15.10600
10 23 9    0.46948 15.53200
10 23 10    0.50492 15.90400
10 23 11    0.17529 16.32100
10 23 13    0.17569 17.02200
10 23 14    0.40692 17.26100
10 23 15    0.47184 17.42500
10 23 16    0.36809 17.59300
10 23 17    0.89704 17.79400
10 23 18    0.41727 17.99000
10 24 5    0.11359 13.31400
10 24 6    0.13375 14.00100
10 24 7    0.25008 14.60700
10 24 8    0.34346 15.10600
10 24 9    0.42172 15.53200
10 24 10    0.17660 15.90400
10 24 12    0.02506 16.75600
10 24 13    0.22245 17.02200
10 24 14    0.32819 17.26100
10 24 15    0.54155 17.42500
10 24 16    0.33706 17.59300
10 24 17    0.84122 17.79400
10 24 18    0.51841 17.99000
10 24 21    0.38449 18.42500
10 24 22    0.32270 18.50600
10 25 4    0.01239 12.52100
10 25 5    0.09942 13.31400
10 25 6    0.13843 14.00100
10 25 7    0.17068 14.60700
10 25 8    0.25195 15.10600
10 25 9    0.18693 15.53200
10 25 12    0.04526 16.75600
10 25 13    0.18997 17.02200
10 25 14    0.27857 17.26100
10 25 15    0.41437 17.42500
10 25 16    0.28149 17.59300
10 25 17    0.73395 17.79400
10 25 18    0.69263 17.99000
10 25 19    0.16067 18.17600
10 25 20    0.22745 18.32500
10 25 21    1.04520 18.42500
10 25 22    1.27710 18.50600
10 25 23    0.33504 18.57300
10 26 4    0.00932 12.52100
10 26 5    0.10842 13.31400
10 26 6    0.11684 14.00100
10 26 7    0.06378 14.60700
10 26 8    0.24386 15.10600
10 26 9    0.03683 15.53200
10 26 13    0.09570 17.02200
10 26 14    0.07446 17.26100
10 26 15    0.27240 17.42500
10 26 16    0.25170 17.59300
10 26 17    0.57221 17.79400
10 26 18    0.61304 17.99000
10 26 19    0.57896 18.17600
10 26 20    0.32272 18.32500
10 26 21    0.75142 18.42500
10 26 22    1.42800 18.50600
10 26 23    1.05890 18.57300
10 27 4    0.01413 12.52100
10 27 5    0.05254 13.31400
10 27 6    0.12100 14.00100
10 27 7    0.00419 14.60700
10 27 8    0.26310 15.10600
10 27 15    0.19700 17.42500
10 27 16    0.34503 17.59300
10 27 17    0.44791 17.79400
10 27 18    0.51932 17.99000
10 27 19    0.77523 18.17600
10 27 20    0.59112 18.32500
10 27 21    0.75397 18.42500
10 27 22    1.17580 18.50600
10 27 23    1.33650 18.57300
10 27 24    0.05228 18.69800
10 28 4    0.01036 12.52100
10 28 5    0.01933 13.31400
10 28 6    0.10257 14.00100
10 28 7    0.00785 14.60700
10 28 8    0.24712 15.10600
10 28 15    0.19551 17.42500
10 28 16    0.46320 17.59300
10 28 17    0.49751 17.79400
10 28 18    0.67400 17.99000
10 28 19    0.70556 18.17600
10 28 20    0.88051 18.32500
10 28 21    1.09350 18.42500
10 28 22    1.44790 18.50600
10 28 23    1.19950 18.57300
10 28 24    0.05738 18.69800
10 29 5    0.02985 13.31400
10 29 6    0.12030 14.00100
10 29 8    0.09452 15.10600
10 29 15    0.15917 17.42500
10 29 16    0.43202 17.59300
10 29 17    0.60009 17.79400
10 29 18    0.69454 17.99000
10 29 19    0.72613 18.17600
10 29 20    1.05170 18.32500
10 29 21    1.15980 18.42500
10 29 22    1.41610 18.50600
10 29 23    0.82192 18.57300
10 30 5    0.07142 13.31400
10 30 6    0.10243 14.00100
10 30 15    0.11741 17.42500
10 30 16    0.36293 17.59300
10 30 17    0.46451 17.79400
10 30 18    0.52908 17.99000
10 30 19    0.65609 18.17600
10 30 20    1.01600 18.32500
10 30 21    1.01500 18.42500
10 30 22    1.35900 18.50600
10 30 23    0.55675 18.57300
10 31 5    0.04251 13.31400
10 31 6    0.04896 14.00100
10 31 15    0.11087 17.42500
10 31 16    0.37174 17.59300
10 31 17    0.24725 17.79400
10 31 18    0.36064 17.99000
10 31 19    0.66311 18.17600
10 31 20    0.82439 18.32500
10 31 21    1.05060 18.42500
10 31 22    1.19430 18.50600
10 31 23    0.16688 18.57300
10 32 5    0.00164 13.31400
10 32 6    0.03927 14.00100
10 32 15    0.11257 17.42500
10 32 16    0.22960 17.59300
10 32 18    0.17947 17.99000
10 32 19    0.44862 18.17600
10 32 20    0.58055 18.32500
10 32 21    1.00100 18.42500
10 32 22    0.63863 18.50600
10 33 6    0.02778 14.00100
10 33 15    0.05896 17.42500
10 33 16    0.07633 17.59300
10 33 20    0.08466 18.32500
10 33 21    0.26776 18.42500
10 33 22    0.01646 18.50600
11 2 4    0.07627 12.52100
11 2 5    0.00892 13.31400
11 3 4    0.04880 12.52100
11 3 5    0.04512 13.31400
11 4 4    0.00319 12.52100
11 4 5    0.06769 13.31400
11 5 5    0.12608 13.31400
11 5 6    0.00814 14.00100
11 6 5    0.14769 13.31400
11 6 6    0.10915 14.00100
11 7 5    0.11009 13.31400
11 7 6    0.25174 14.00100
11 7 7    0.08033 14.60700
11 8 5    0.05184 13.31400
11 8 6    0.28013 14.00100
11 8 7    0.33768 14.60700
11 8 8    0.29398 15.10600
11 8 9    0.21153 15.53200
11 9 5    0.02898 13.31400
11 9 6    0.18003 14.00100
11 9 7    0.32346 14.60700
11 9 8    0.34860 15.10600
11 9 9    0.47413 15.53200
11 9 10    0.12251 15.90400
11 10 6    0.06545 14.00100
11 10 7    0.17368 14.60700
11 10 8    0.22147 15.10600
11 10 9    0.32791 15.53200
11 10 10    0.32853 15.90400
11 11 6    0.02886 14.00100
11 11 7    0.11029 14.60700
11 11 8    0.13221 15.10600
11 11 9    0.12657 15.53200
11 11 10    0.38585 15.90400
11 11 11    0.00144 16.32100
11 12 6    0.07976 14.00100
11 12 7    0.13478 14.60700
11 12 8    0.09234 15.10600
11 12 9    0.05755 15.53200
11 12 10    0.26003 15.90400
11 12 11    0.11528 16.32100
11 12 12    0.03579 16.75600
11 12 13    0.15709 17.02200
11 12 14    0.10411 17.26100
11 13 6    0.14392 14.00100
11 13 7    0.14271 14.60700
11 13 8    0.01880 15.10600
11 13 9    0.01641 15.53200
11 13 10    0.14205 15.90400
11 13 11    0.30471 16.32100
11 13 12    0.31235 16.75600
11 13 13    0.52770 17.02200
11 13 14    0.66152 17.26100
11 13 15    0.10750 17.42500
11 14 6    0.17544 14.00100
11 14 7    0.17151 14.60700
11 14 10    0.04760 15.90400
11 14 11    0.25912 16.32100
11 14 12    0.40896 16.75600
11 14 13    0.52958 17.02200
11 14 14    0.68563 17.26100
11 14 15    0.54076 17.42500
11 15 5    0.04473 13.31400
11 15 6    0.21883 14.00100
11 15 7    0.24766 14.60700
11 15 8    0.02404 15.10600
11 15 11    0.13819 16.32100
11 15 12    0.29026 16.75600
11 15 13    0.46886 17.02200
11 15 14    0.55182 17.26100
11 15 15    0.76250 17.42500
11 15 16    0.18136 17.59300
11 16 5    0.11545 13.31400
11 16 6    0.27007 14.00100
11 16 7    0.27352 14.60700
11 16 8    0.03682 15.10600
11 16 11    0.04873 16.32100
11 16 12    0.19534 16.75600
11 16 13    0.45050 17.02200
11 16 14    0.63878 17.26100
11 16 15    0.78621 17.42500
11 16 16    0.54506 17.59300
11 17 5    0.13441 13.31400
11 17 6    0.26344 14.00100
11 17 7    0.21213 14.60700
11 17 8    0.01193 15.10600
11 17 12    0.10571 16.75600
11 17 13    0.40994 17.02200
11 17 14    0.59937 17.26100
11 17 15    0.78968 17.42500
11 17 16    0.74849 17.59300
11 17 17    0.02103 17.79400
11 18 4    0.02518 12.52100
11 18 5    0.06006 13.31400
11 18 6    0.17993 14.00100
11 18 7    0.14639 14.60700
11 18 8    0.00904 15.10600
11 18 12    0.03535 16.75600
11 18 13    0.30968 17.02200
11 18 14    0.40391 17.26100
11 18 15    0.69759 17.42500
11 18 16    0.81044 17.59300
11 18 17    0.21428 17.79400
11 19 4    0.02251 12.52100
11 19 5    0.03275 13.31400
11 19 6    0.11660 14.00100
11 19 7    0.15580 14.60700
11 19 8    0.06532 15.10600
11 19 9    0.00749 15.53200
11 19 12    0.01025 16.75600
11 19 13    0.22931 17.02200
11 19 14    0.27725 17.26100
11 19 15    0.51262 17.42500
11 19 16    0.76732 17.59300
11 19 17    0.45645 17.79400
11 20 5    0.05001 13.31400
11 20 6    0.12969 14.00100
11 20 7    0.22463 14.60700
11 20 8    0.23095 15.10600
11 20 9    0.26193 15.53200
11 20 10    0.01648 15.90400
11 20 12    0.03923 16.75600
11 20 13    0.19125 17.02200
11 20 14    0.14880 17.26100
11 20 15    0.20542 17.42500
11 20 16    0.65202 17.59300
11 20 17    0.61413 17.79400
11 21 5    0.06499 13.31400
11 21 6    0.15971 14.00100
11 21 7    0.30327 14.60700
11 21 8    0.35953 15.10600
11 21 9    0.46259 15.53200
11 21 10    0.31376 15.90400
11 21 12    0.07960 16.75600
11 21 13    0.24716 17.02200
11 21 14    0.12323 17.26100
11 21 15    0.03666 17.42500
11 21 16    0.49438 17.59300
11 21 17    0.62811 17.79400
11 22 4    0.00327 12.52100
11 22 5    0.07759 13.31400
11 22 6    0.18871 14.00100
11 22 7    0.33036 14.60700
11 22 8    0.43699 15.10600
11 22 9    0.49643 15.53200
11 22 10    0.49342 15.90400
11 22 12    0.00234 16.75600
11 22 13    0.25610 17.02200
11 22 14    0.36045 17.26100
11 22 16    0.36049 17.59300
11 22 17    0.64622 17.79400
11 22 18    0.08901 17.99000
11 23 4    0.01531 12.52100
11 23 5    0.08607 13.31400
11 23 6    0.17689 14.00100
11 23 7    0.29095 14.60700
11 23 8    0.39608 15.10600
11 23 9    0.48315 15.53200
11 23 10    0.35417 15.90400
11 23 13    0.23227 17.02200
11 23 14    0.53585 17.26100
11 23 15    0.19028 17.42500
11 23 16    0.21792 17.59300
11 23 17    0.66359 17.79400
11 23 18    0.14008 17.99000
11 24 4    0.01244 12.52100
11 24 5    0.11149 13.31400
11 24 6    0.15330 14.00100
11 24 7    0.24606 14.60700
11 24 8    0.28892 15.10600
11 24 9    0.43468 15.53200
11 24 10    0.09865 15.90400
11 24 12    0.00659 16.75600
11 24 13    0.23983 17.02200
11 24 14    0.38186 17.26100
11 24 15    0.28762 17.42500
11 24 16    0.15028 17.59300
11 24 17    0.58691 17.79400
11 24 18    0.12747 17.99000
11 24 20    0.02542 18.32500
11 24 21    0.43470 18.42500
11 24 22    0.31064 18.50600
11 25 4    0.02111 12.52100
11 25 5    0.11475 13.31400
11 25 6    0.21266 14.00100
11 25 7    0.20933 14.60700
11 25 8    0.25240 15.10600
11 25 9    0.33432 15.53200
11 25 12    0.02906 16.75600
11 25 13    0.15857 17.02200
11 25 14    0.27711 17.26100
11 25 15    0.32350 17.42500
11 25 16    0.08803 17.59300
11 25 17    0.53002 17.79400
11 25 18    0.40516 17.99000
11 25 20    0.35925 18.32500
11 25 21    1.01680 18.42500
11 25 22    1.20200 18.50600
11 25 23    0.25623 18.57300
11 26 4    0.00353 12.52100
11 26 5    0.12116 13.31400
11 26 6    0.22424 14.00100
11 26 7    0.08344 14.60700
11 26 8    0.28929 15.10600
11 26 9    0.20516 15.53200
11 26 13    0.06396 17.02200
11 26 14    0.15708 17.26100
11 26 15    0.33390 17.42500
11 26 16    0.01729 17.59300
11 26 17    0.39740 17.79400
11 26 18    0.54376 17.99000
11 26 19    0.25126 18.17600
11 26 20    0.38990 18.32500
11 26 21    0.74710 18.42500
11 26 22    1.47200 18.50600
11 26 23    0.82262 18.57300
11 27 4    0.00362 12.52100
11 27 5    0.09999 13.31400
11 27 6    0.23705 14.00100
11 27 8    0.42368 15.10600
11 27 9    0.16941 15.53200
11 27 15    0.25842 17.42500
11 27 16    0.14297 17.59300
11 27 17    0.23914 17.79400
11 27 18    0.46382 17.99000
11 27 19    0.55537 18.17600
11 27 20    0.52556 18.32500
11 27 21    0.79296 18.42500
11 27 22    1.36880 18.50600
11 27 23    1.06200 18.57300
11 28 4    0.02370 12.52100
11 28 5    0.08252 13.31400
11 28 6    0.26387 14.00100
11 28 7    0.04532 14.60700
11 28 8    0.53215 15.10600
11 28 9    0.06646 15.53200
11 28 14    0.00428 17.26100
11 28 15    0.21074 17.42500
11 28 16    0.36827 17.59300
11 28 17    0.31551 17.79400
11 28 18    0.53977 17.99000
11 28 19    0.66089 18.17600
11 28 20    0.78276 18.32500
11 28 21    1.06110 18.42500
11 28 22    1.42110 18.50600
11 28 23    0.95004 18.57300
11 28 24    0.00378 18.69800
11 29 4    0.02411 12.52100
11 29 5    0.14067 13.31400
11 29 6    0.26266 14.00100
11 29 7    0.06348 14.60700
11 29 8    0.30270 15.10600
11 29 13    0.01626 17.02200
11 29 14    0.08072 17.26100
11 29 15    0.20804 17.42500
11 29 16    0.40414 17.59300
11 29 17    0.55349 17.79400
11 29 18    0.68518 17.99000
11 29 19    0.85982 18.17600
11 29 20    0.89628 18.32500
11 29 21    1.08350 18.42500
11 29 22    1.36440 18.50600
11 29 23    0.68127 18.57300
11 30 4    0.02047 12.52100
11 30 5    0.14542 13.31400
11 30 6    0.18635 14.00100
11 30 7    0.00272 14.60700
11 30 14    0.10185 17.26100
11 30 15    0.22971 17.42500
11 30 16    0.33173 17.59300
11 30 17    0.50910 17.79400
11 30 18    0.67171 17.99000
11 30 19    0.80804 18.17600
11 30 20    1.00600 18.32500
11 30 21    1.02090 18.42500
11 30 22    1.36260 18.50600
11 30 23    0.51650 18.57300
11 31 4    0.02177 12.52100
11 31 5    0.09705 13.31400
11 31 6    0.09691 14.00100
11 31 14    0.02624 17.26100
11 31 15    0.16733 17.42500
11 31 16    0.25655 17.59300
11 31 17    0.32711 17.79400
11 31 18    0.50286 17.99000
11 31 19    0.76528 18.17600
11 31 20    0.95560 18.32500
11 31 21    1.08690 18.42500
11 31 22    1.25280 18.50600
11 31 23    0.18855 18.57300
11 32 4    0.01127 12.52100
11 32 5    0.07431 13.31400
11 32 6    0.06626 14.00100
11 32 15    0.03525 17.42500
11 32 16    0.07966 17.59300
11 32 17    0.02097 17.79400
11 32 18    0.29114 17.99000
11 32 19    0.63971 18.17600
11 32 20    0.69218 18.32500
11 32 21    0.98589 18.42500
11 32 22    0.80539 18.50600
